0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:37:23 +0900] "GET /board/get?bno=1 HTTP/1.1" 200 22689
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:37:26 +0900] "GET /board/modify?bno=1 HTTP/1.1" 200 23657
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:37:52 +0900] "GET /board/get?bno=39 HTTP/1.1" 200 22618
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:38:33 +0900] "GET /board/get?bno=39 HTTP/1.1" 200 22618
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:38:49 +0900] "GET /board/modify?bno=39 HTTP/1.1" 200 23585
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:39:07 +0900] "GET /board/modify?bno=39 HTTP/1.1" 200 23585
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:39:34 +0900] "POST /board/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:39:34 +0900] "GET /board/list HTTP/1.1" 200 37980
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:41:08 +0900] "GET /board/get?bno=39 HTTP/1.1" 200 22618
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:41:13 +0900] "GET /board/modify?bno=39 HTTP/1.1" 200 23585
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:41:14 +0900] "POST /board/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:41:14 +0900] "GET /board/list HTTP/1.1" 200 37980
